Price,Type,Living_space,Bedrooms,Bathrooms,Year_built,Year_renovated
189000,Mid-terrace house,162.95,2,1,1900,2019
189000,Mid-terrace house,145,3,1,1911,2020
190000,Mid-terrace house,180,4,1,1946,1994
190000,Mid-terrace house,274,6,2,1912,2000
190000,Duplex,170,6,4,1972,2014
190000,Mid-terrace house,130,3,2,1987,2014
190000,Duplex,285,6,5,1925,2015
190000,Duplex,293,6,6,1928,2019
190000,Farmhouse,74,2,2,1954,2019
195000,Mid-terrace house,180,4,2,1912,1980
195000,Single dwelling,185,2,2,1930,1992
195000,Duplex,307,4,4,1900,1996
195000,Duplex,214,6,3,1900,1999
195000,Farmhouse,120,3,1,1957,2005
195000,Mid-terrace house,210,5,2,1954,2005
195000,Mid-terrace house,130,1,1,1975,2008
195000,Mid-terrace house,190,6,2,1969,2010
195000,Mid-terrace house,220,3,2,1959,2012
195000,Mid-terrace house,140,3,1,1950,2012
195000,Mid-terrace house,180,3,1,1938,2015
195000,Mid-terrace house,180,3,1,1938,2015
195000,Single dwelling,90,1,1,1952,2016
195000,Duplex,234,10,4,1918,2016
195000,Duplex,380,5,3,1992,2016
195000,Farmhouse,110,3,2,1923,2017
195000,Special property,109,2,1,1968,2018
195000,Farmhouse,170.79,4,2,1900,2020
195100,Mid-terrace house,130,3,1,1930,2001
197500,Mid-terrace house,161.67,4,2,1967,1995
198000,Duplex,200,4,2,1974,1986
198000,Mid-terrace house,120,2,2,1960,1995
198000,Mid-terrace house,205,3,2,1826,2003
198000,Corner house,350,8,3,1930,2014
198000,Mid-terrace house,200,8,1,1823,2020
199000,Duplex,333,6,3,1426,1979
199000,Mid-terrace house,162.2,2,2,1973,1991
199000,Multiple dwelling,235,3,5,1895,1993
199000,Duplex,290,2,2,1836,2000
199000,Mid-terrace house,146.17,4,2,1971,2001
199000,Multiple dwelling,120,3,2,1920,2002
199000,Mid-terrace house,125,4,1,1950,2003
199000,Mid-terrace house,220,5,2,1979,2003
199000,Duplex,131.84,3,2,1850,2006
199000,Duplex,120,2,3,1957,2010
199000,Single dwelling,90,3,1,1945,2011
199000,Corner house,240,3,1,1900,2014
199000,Mid-terrace house,115,4,2,1958,2014
199000,Mid-terrace house,495,6,3,1900,2014
199000,Bungalow,480,8,3,1901,2014
199000,Mid-terrace house,190,5,2,1920,2015
199000,Mid-terrace house,337,10,2,1966,2016
199000,Mid-terrace house,128,3,2,1998,2018
199000,Duplex,270,5,3,1924,2018
199000,Mid-terrace house,175,6,2,1964,2018
199000,Bungalow,88,3,2,2011,2019
199000,Mid-terrace house,115,2,2,1976,2019
199000,Multiple dwelling,156,4,2,1930,2019
199000,Mid-terrace house,88,3,2,2011,2019
199000,Special property,70,1,1,1973,2019
199000,Mid-terrace house,127.06,4,2,1970,2019
199000,Corner house,86,4,1,1933,2019
199000,Duplex,70,4,2,1903,2019
199000,Mid-terrace house,130,4,1,1900,2019
199000,Duplex,340,5,5,1950,2020
199500,Multiple dwelling,71,2,2,1955,2013
199500,Mid-terrace house,92,1,1,1934,2018
199600,Duplex,184,6,3,1938,1992
199990,Duplex,150,5,2,1962,2001
199990,Mid-terrace house,130,2,1,1970,2013
199995,Single dwelling,120,2,1,1880,2018
200000,Duplex,302,5,3,1818,1999
200000,Duplex,328,7,5,1905,2000
